messstelle_id,e32,e32num,n32,n32num,genau
218739114,3241XX,324150.0,56437XX,5643750.0,100
218739126,3241XX,324150.0,56437XX,5643750.0,100
218739217,3237XX,323750.0,56435XX,5643550.0,100
218739310,3236XX,323650.0,56437XX,5643750.0,100
218739321,3236XX,323650.0,56437XX,5643750.0,100
218739412,3223XX,322350.0,56446XX,5644650.0,100
218739515,3225XX,322550.0,56448XX,5644850.0,100
218739527,3225XX,322550.0,56448XX,5644850.0,100
218739618,3248XX,324850.0,56423XX,5642350.0,100
218739620,3248XX,324850.0,56423XX,5642350.0,100
218739710,3247XX,324750.0,56420XX,5642050.0,100
218739813,3198XX,319850.0,56365XX,5636550.0,100
218739916,3196XX,319650.0,56366XX,5636650.0,100
218739928,3196XX,319650.0,56366XX,5636650.0,100
218740013,3242XX,324250.0,56434XX,5643450.0,100
218740116,3211XX,321150.0,56434XX,5643450.0,100
218740219,3245XX,324550.0,56426XX,5642650.0,100
218740311,3246XX,324650.0,56433XX,5643350.0,100
218740323,3246XX,324650.0,56433XX,5643350.0,100
218740414,3187XX,318750.0,56383XX,5638350.0,100
218740426,3187XX,318750.0,56383XX,5638350.0,100
218740517,3218XX,321850.0,56444XX,5644450.0,100
218740529,3218XX,321850.0,56444XX,5644450.0,100
218740610,3238XX,323850.0,56448XX,5644850.0,100
218740621,3238XX,323850.0,56448XX,5644850.0,100
218740712,3212XX,321250.0,56441XX,5644150.0,100
218740815,3210XX,321050.0,56438XX,5643850.0,100
218740827,3210XX,321050.0,56438XX,5643850.0,100
218740918,3241XX,324150.0,56454XX,5645450.0,100
218740920,3241XX,324150.0,56454XX,5645450.0,100
218741017,3225XX,322550.0,56426XX,5642650.0,100
218741029,3225XX,322550.0,56426XX,5642650.0,100
218741030,3225XX,322550.0,56426XX,5642650.0,100
218741110,3212XX,321250.0,56435XX,5643550.0,100
218741121,3212XX,321250.0,56435XX,5643550.0,100
218741133,3212XX,321250.0,56435XX,5643550.0,100
218741212,3236XX,323650.0,56455XX,5645550.0,100
218741224,3236XX,323650.0,56455XX,5645550.0,100
218741236,3236XX,323650.0,56455XX,5645550.0,100
218741315,3215XX,321550.0,56438XX,5643850.0,100
218741327,3215XX,321550.0,56438XX,5643850.0,100
218741339,3215XX,321550.0,56438XX,5643850.0,100
